Date,Close,gain
05-01-2010,1616.8,-0.005443976
06-01-2010,1638.5,0.013421573
07-01-2010,1648.7,0.006225206
08-01-2010,1639.8,-0.005398193
11-01-2010,1629.45,-0.006311745
12-01-2010,1583.85,-0.027984903
13-01-2010,1571.3,-0.00792373
14-01-2010,1573.55,0.001431935
15-01-2010,1570.4,-0.002001843
18-01-2010,1562.5,-0.005030565
19-01-2010,1559.95,-0.001632
20-01-2010,1563.45,0.002243662
21-01-2010,1539.55,-0.015286706
22-01-2010,1514.3,-0.016400896
25-01-2010,1532.05,0.011721588
27-01-2010,1523.4,-0.00564603
28-01-2010,1526,0.001706709
29-01-2010,1520.45,-0.003636959
01-02-2010,1540.75,0.01335131
02-02-2010,1540.15,-0.000389421
03-02-2010,1564.8,0.016004935
04-02-2010,1561.3,-0.002236708
05-02-2010,1559.95,-0.000864664
06-02-2010,1561.9,0.00125004
08-02-2010,1529.1,-0.021000064
09-02-2010,1530.4,0.000850173
10-02-2010,1561.05,0.020027444
11-02-2010,1578.85,0.011402582
15-02-2010,1578.95,6.33E-05
16-02-2010,1569.3,-0.006111656
17-02-2010,1584.45,0.009653986
18-02-2010,1580.35,-0.002587649
19-02-2010,1651.55,0.045053311
22-02-2010,1680.25,0.017377615
23-02-2010,1711.35,0.01850915
24-02-2010,1710.2,-0.000671984
25-02-2010,1722.8,0.007367559
26-02-2010,1709.9,-0.007487811
02-03-2010,1707.1,-0.001637523
03-03-2010,1710,0.001698787
04-03-2010,1739.55,0.017280702
05-03-2010,1741.8,0.001293438
08-03-2010,1772.55,0.017654151
09-03-2010,1750.95,-0.012185834
10-03-2010,1767.65,0.00953768
11-03-2010,1744.95,-0.012841909
12-03-2010,1729.4,-0.00891143
15-03-2010,1697.55,-0.018416792
16-03-2010,1696.75,-0.000471267
17-03-2010,1692.3,-0.002622661
18-03-2010,1702.05,0.00576139
19-03-2010,1725.2,0.013601246
22-03-2010,1742.15,0.009824948
23-03-2010,1745.9,0.002152513
25-03-2010,1748.35,0.001403288
26-03-2010,1748.85,0.000285984
29-03-2010,1757.85,0.005146239
30-03-2010,1772.3,0.008220269
31-03-2010,1778,0.00321616
01-04-2010,1768.85,-0.005146232
05-04-2010,1785.1,0.00918676
06-04-2010,1762.85,-0.012464288
07-04-2010,1760.95,-0.0010778
08-04-2010,1770.05,0.005167665
09-04-2010,1780.25,0.005762549
12-04-2010,1789.75,0.005336329
13-04-2010,1801.1,0.006341668
15-04-2010,1810.2,0.005052468
16-04-2010,1827.8,0.009722683
19-04-2010,1851.6,0.013021118
20-04-2010,1863.05,0.006183841
21-04-2010,1917.3,0.029118918
22-04-2010,1905.15,-0.006337036
23-04-2010,1898.6,-0.003438049
26-04-2010,1883.75,-0.007821553
27-04-2010,1885.45,0.000902455
28-04-2010,1897.1,0.006178896
29-04-2010,1882.8,-0.007537821
30-04-2010,1912.95,0.016013384
03-05-2010,1898.5,-0.007553778
04-05-2010,1888.65,-0.005188307
05-05-2010,1945.6,0.030153814
06-05-2010,1985.3,0.020405016
07-05-2010,1942.8,-0.021407344
10-05-2010,1996.1,0.02743463
11-05-2010,1997.8,0.000851661
12-05-2010,2057.75,0.030008009
13-05-2010,2132.4,0.036277488
14-05-2010,2140,0.003564059
17-05-2010,2160.45,0.009556075
18-05-2010,2174.4,0.006456988
19-05-2010,2064.3,-0.050634658
20-05-2010,2085.55,0.010294046
21-05-2010,2043.95,-0.019946777
24-05-2010,2025.9,-0.00883094
25-05-2010,2008.95,-0.008366652
26-05-2010,2008.35,-0.000298663
27-05-2010,1981.1,-0.013568352
28-05-2010,1995.9,0.007470597
31-05-2010,2107.95,0.056140087
01-06-2010,2087.9,-0.009511611
02-06-2010,2107.85,0.009555055
03-06-2010,2080.45,-0.012999027
04-06-2010,2035.2,-0.021750102
07-06-2010,2030.6,-0.00226022
08-06-2010,2028.55,-0.001009554
09-06-2010,2103.2,0.036799685
10-06-2010,2106.3,0.001473944
11-06-2010,2076.9,-0.013958126
14-06-2010,2076.2,-0.000337041
15-06-2010,2077.5,0.000626144
16-06-2010,2084.7,0.003465704
17-06-2010,2096.7,0.005756224
18-06-2010,2084.95,-0.005604044
21-06-2010,2123.25,0.018369745
22-06-2010,2097.6,-0.012080537
23-06-2010,2119.55,0.01046434
24-06-2010,2141.9,0.010544691
25-06-2010,2174.55,0.015243475
28-06-2010,2193.2,0.008576487
29-06-2010,2218.25,0.011421667
30-06-2010,2183.95,-0.015462639
01-07-2010,2188.6,0.00212917
02-07-2010,2160.2,-0.012976332
05-07-2010,2169.4,0.004258865
06-07-2010,2135.2,-0.015764728
