Date,Close,gain
05-01-2010,1134.6,-0.000880592
06-01-2010,1139.6,0.004406839
07-01-2010,1144.15,0.003992629
08-01-2010,1144.05,-8.74E-05
11-01-2010,1137,-0.006162318
12-01-2010,1143.65,0.005848725
13-01-2010,1142.25,-0.001224151
14-01-2010,1148.2,0.005209017
15-01-2010,1207.05,0.051254137
18-01-2010,1236.25,0.02419121
19-01-2010,1221.25,-0.012133468
20-01-2010,1186.2,-0.028700102
21-01-2010,1150.15,-0.030391165
22-01-2010,1170.75,0.017910707
25-01-2010,1154.7,-0.013709161
27-01-2010,1058.6,-0.08322508
28-01-2010,1039.3,-0.018231627
29-01-2010,1068.95,0.028528817
01-02-2010,1140.1,0.066560644
02-02-2010,1107.95,-0.028199281
03-02-2010,1118.8,0.009792861
04-02-2010,1090.3,-0.025473722
05-02-2010,1070.45,-0.018205998
06-02-2010,1080.4,0.009295156
08-02-2010,1095.65,0.014115143
09-02-2010,1109,0.012184548
10-02-2010,1095.45,-0.012218215
11-02-2010,1120.55,0.022912958
15-02-2010,1139.65,0.017045201
16-02-2010,1137.9,-0.001535559
17-02-2010,1142.75,0.004262237
18-02-2010,1131,-0.010282214
19-02-2010,1116.4,-0.01290893
22-02-2010,1094,-0.020064493
23-02-2010,1065,-0.026508227
24-02-2010,1046.45,-0.01741784
25-02-2010,1011.15,-0.033733098
26-02-2010,1013.55,0.002373535
02-03-2010,1042,0.028069656
03-03-2010,1035.85,-0.005902111
04-03-2010,1048.9,0.012598349
05-03-2010,1064.3,0.014682048
08-03-2010,1069.8,0.005167716
09-03-2010,1063.75,-0.005655263
10-03-2010,1059.55,-0.003948296
11-03-2010,1044.85,-0.013873814
12-03-2010,1036.15,-0.008326554
15-03-2010,1019.55,-0.016020846
16-03-2010,1029.2,0.00946496
17-03-2010,1038.85,0.009376215
18-03-2010,1049.25,0.01001107
19-03-2010,1063.1,0.013199905
22-03-2010,1050.2,-0.012134324
23-03-2010,1045.1,-0.004856218
25-03-2010,1033.85,-0.01076452
26-03-2010,1050.45,0.016056488
29-03-2010,1057.6,0.006806607
30-03-2010,1047.95,-0.009124433
31-03-2010,1049.6,0.001574503
